rank,anomaly_score,reason,timestamp,txid,src_ip,dst_ip,src_country,src_asn,src_asn_org,num_inputs,num_outputs,total_input_amount,total_output_amount,fee,ip_wallet_diversity,is_anomaly,anomaly_type
1,0.7084933560155428,"src_ip_burst_count=3 (above median 1, z=9.5); total_input_amount=5.954 (above median 0.09975, z=5.2); total_output_amount=5.951 (above median 0.09954, z=5.2)",2025-01-10T22:24:19,1c9a3cce715141d5a183c0e2690edb0ed253e9dbec2b44c18bc7575d23e15efa,231.209.49.33,208.67.222.222,Unknown,Unknown,Unknown,1,2,5.95370803,5.95073118,0.00297685,68,1,peel_chain
2,0.7050052355666641,"total_input_amount=6.685 (above median 0.09975, z=5.9); total_output_amount=6.681 (above median 0.09954, z=5.9); src_ip_burst_count=2 (above median 1, z=4.7)",2025-01-10T22:14:19,4e98f487c614418290edbc7c7edc3887c9b54c26a0bd4da7868662eb2b648c79,231.209.49.33,208.67.222.222,Unknown,Unknown,Unknown,1,2,6.68483948,6.68149706,0.00334242,68,1,peel_chain
3,0.7050052355666641,"total_input_amount=6.905 (above median 0.09975, z=6.1); total_output_amount=6.902 (above median 0.09954, z=6.1); src_ip_burst_count=2 (above median 1, z=4.7)",2025-01-10T22:16:19,3ceddc004aef4b9ca2bf110d83b7abd5deaa5a4f3485489dbe9b13461f1f93c6,231.209.49.33,208.67.222.222,Unknown,Unknown,Unknown,1,2,6.90546037,6.90200764,0.00345273,68,1,peel_chain
4,0.704864389591577,"total_output_amount=49.98 (above median 0.09954, z=44.6); total_input_amount=50 (above median 0.09975, z=44.6); is_offhours=1 (above median 0, z=3.5)",2025-01-27T03:40:20,a5f7d4d88bca414fa3496af2300c11021cd25f6a53f94ed48eb6d44d9c3b42fc,190.168.187.141,236.42.200.211,VE,Unknown,Unknown,1,1,50.0,49.985,0.015,72,1,round_amount_offhours
5,0.7047204301938956,"total_output_amount=49.98 (above median 0.09954, z=44.6); total_input_amount=50 (above median 0.09975, z=44.6); is_offhours=1 (above median 0, z=3.5)",2025-01-17T03:53:25,96d69038b6314d19a1f82386ece4bf4cdb28fb3cf7b9437faf75a7dc7127568e,201.115.224.64,206.13.222.70,MX,Unknown,Unknown,1,1,50.0,49.985,0.015,59,1,round_amount_offhours
6,0.6962201320051488,"total_input_amount=5.61 (above median 0.09975, z=4.9); total_output_amount=5.607 (above median 0.09954, z=4.9); src_ip_burst_count=2 (above median 1, z=4.7)",2025-01-10T22:28:19,902cac68cdd747c09e4e8e650e3e42544fde9fa56f294b3397f847af7309c62a,231.209.49.33,208.67.222.222,Unknown,Unknown,Unknown,1,2,5.60979769,5.60699279,0.0028049,68,1,peel_chain
7,0.6936783612434632,"total_output_amount=49.98 (above median 0.09954, z=44.6); total_input_amount=50 (above median 0.09975, z=44.6); is_offhours=1 (above median 0, z=3.5)",2025-01-11T02:45:49,7a41c165d2ab4e5cbce25e346adc8d09bd4af2e5f43c45dca4d581c0f9d9557d,190.77.226.42,77.207.172.114,VE,8048.0,"CANTV Servicios, Venezuela",1,1,50.0,49.985,0.015,59,1,round_amount_offhours
8,0.6905443346479481,"total_output_amount=9.997 (above median 0.09954, z=8.9); total_input_amount=10 (above median 0.09975, z=8.9); is_offhours=1 (above median 0, z=3.5)",2025-01-18T03:03:29,c0f5691c305c444d92b8a811842414a5731eac0aa3c44369bc611e11e54f9e4a,154.83.155.109,178.134.182.13,US,Unknown,Unknown,1,1,10.0,9.997,0.003,68,1,round_amount_offhours
9,0.6883943112576106,"src_ip_burst_count=2 (above median 1, z=4.7); total_input_amount=4.782 (above median 0.09975, z=4.2); total_output_amount=4.78 (above median 0.09954, z=4.2)",2025-01-15T10:17:00,ac819eced8aa4a0981c5349ce430a1fdb3b148c47328442ea38f814752af22e2,19.139.58.31,227.76.191.174,US,Unknown,Unknown,1,2,4.78235037,4.7799591900000005,0.00239118,87,1,peel_chain
10,0.686998453852762,"src_ip_burst_count=2 (above median 1, z=4.7); total_input_amount=4.451 (above median 0.09975, z=3.9); total_output_amount=4.449 (above median 0.09954, z=3.9)",2025-01-15T10:22:00,b1717599c23c483bbaac5956792f5295acb6a5c488554404a45b64453e063e00,19.139.58.31,227.76.191.174,US,Unknown,Unknown,1,2,4.45149795,4.4492722,0.00222575,87,1,peel_chain
11,0.6825235402691802,"total_output_amount=49.98 (above median 0.09954, z=44.6); total_input_amount=50 (above median 0.09975, z=44.6); is_offhours=1 (above median 0, z=3.5)",2025-01-06T03:12:52,e9a34be16c534b13b9990b2740aeb8081b60dc2a18f44542927f8ff85346b1ec,111.106.92.10,175.189.9.56,JP,2516.0,KDDI CORPORATION,1,1,50.0,49.985,0.015,64,1,round_amount_offhours
12,0.6815632087502652,"num_outputs=27 (above median 2, z=21.9); src_ip_burst_count=2 (above median 1, z=4.7); total_input_amount=4.776 (above median 0.09975, z=4.2)",2025-01-06T05:36:40,48fbbfb3daf8458497e2f47572ed37757c39c73b18104a2e86c67ec3add973b9,144.179.80.62,11.54.185.61,NO,Unknown,Unknown,1,27,4.7762611,4.77148486,0.00477626,53,1,rapid_fan_out_layering
